ID,Title,Pack,Artist,Image,Level,Chart Constant,Background,Chart Design,Side,Artwork,Length,Vocals,Genre,Difficulty,Notes_Touch,Notes_Joycon,Version_Mobile,Version_Switch,Added_Mobile,Added_Switch,BPM_Min,BPM_Max
nexttoyou,next to you,Binary Enfold,uma feat. 橘花音,https://static.wikia.nocookie.net/iowiro/images/4/4f/Next_to_you.jpg/revision/latest?cb=20230928072409,7,7.0,nijuusei-light-b,Nitro,Light,mins,2:12,橘花音 (Kanon Tachibana),Eurobeat,1,583,583,1.6.0,1.0.0c,2018-03-23,2021-05-18,165,165
nexttoyou,next to you,Binary Enfold,uma feat. 橘花音,https://static.wikia.nocookie.net/iowiro/images/4/4f/Next_to_you.jpg/revision/latest?cb=20230928072409,8,8.8,nijuusei-light-b,Nitro,Light,mins,2:12,橘花音 (Kanon Tachibana),Eurobeat,2,824,824,1.6.0,1.0.0c,2018-03-23,2021-05-18,165,165
nexttoyou,next to you,Binary Enfold,uma feat. 橘花音,https://static.wikia.nocookie.net/iowiro/images/a/a7/Next_to_you_BYD.jpg/revision/latest?cb=20230928072439,9,9.6,nijuusei-light-b,Toastie,Light,mins,2:12,橘花音 (Kanon Tachibana),Eurobeat,3,954,,3.6.0,,2021-05-11,,165,165
genesismorrigan,Genesis,CHUNITHM Collaboration Chapter 3,Morrigan feat. Lily,https://static.wikia.nocookie.net/iowiro/images/7/74/Genesis_%28Morrigan%29.jpg/revision/latest?cb=20230927213351,4,4.0,chunithmnew_conflict,Exschwasion,Conflict,MAYA (not credited),2:04,Lily,Rock,0,587,,4.4.0,,2023-03-23,,150,150
genesismorrigan,Genesis,CHUNITHM Collaboration Chapter 3,Morrigan feat. Lily,https://static.wikia.nocookie.net/iowiro/images/7/74/Genesis_%28Morrigan%29.jpg/revision/latest?cb=20230927213351,7,7.0,chunithmnew_conflict,Exschwasion,Conflict,MAYA (not credited),2:04,Lily,Rock,1,838,,4.4.0,,2023-03-23,,150,150
genesismorrigan,Genesis,CHUNITHM Collaboration Chapter 3,Morrigan feat. Lily,https://static.wikia.nocookie.net/iowiro/images/7/74/Genesis_%28Morrigan%29.jpg/revision/latest?cb=20230927213351,9+,9.9,chunithmnew_conflict,Exschwasion,Conflict,MAYA (not credited),2:04,Lily,Rock,2,867,,4.4.0,,2023-03-23,,150,150
arcahv,Arcahv,Black Fate,Feryquitous,https://static.wikia.nocookie.net/iowiro/images/1/1b/Arcahv.jpg/revision/latest?cb=20230928043723,4,4.5,arcahv,∅,Light,シエラ (cierra),2:45,Feryquitous,Artcore,0,818,818,3.0.0,1.0.0c,2020-05-27,2021-05-18,191,191
arcahv,Arcahv,Black Fate,Feryquitous,https://static.wikia.nocookie.net/iowiro/images/1/1b/Arcahv.jpg/revision/latest?cb=20230928043723,7,7.5,arcahv,∅,Light,シエラ (cierra),2:45,Feryquitous,Artcore,1,884,884,3.0.0,1.0.0c,2020-05-27,2021-05-18,191,191
arcahv,Arcahv,Black Fate,Feryquitous,https://static.wikia.nocookie.net/iowiro/images/1/1b/Arcahv.jpg/revision/latest?cb=20230928043723,9+,9.9,arcahv,∅,Light,シエラ (cierra),2:45,Feryquitous,Artcore,2,1065,1065,3.0.0,1.0.0c,2020-05-27,2021-05-18,191,191
essenceoftwilight,Essence of Twilight,Eternal Core,ak+q,https://static.wikia.nocookie.net/iowiro/images/a/a8/Essence_of_Twilight.jpg/revision/latest?cb=20170312014835,4,4.5,base_conflict,Nitro,Conflict,deel,2:31,None,Schranz / Artcore,0,556,556,1.0.8,1.0.0c,2017-03-09,2021-05-18,164,164
essenceoftwilight,Essence of Twilight,Eternal Core,ak+q,https://static.wikia.nocookie.net/iowiro/images/a/a8/Essence_of_Twilight.jpg/revision/latest?cb=20170312014835,7,7.0,base_conflict,Nitro,Conflict,deel,2:31,None,Schranz / Artcore,1,767,767,1.0.8,1.0.0c,2017-03-09,2021-05-18,164,164
essenceoftwilight,Essence of Twilight,Eternal Core,ak+q,https://static.wikia.nocookie.net/iowiro/images/a/a8/Essence_of_Twilight.jpg/revision/latest?cb=20170312014835,9,9.1,base_conflict,Nitro,Conflict,deel,2:31,None,Schranz / Artcore,2,1204,1204,1.0.8,1.0.0c,2017-03-09,2021-05-18,164,164
chronostasis,Chronostasis,Arcaea,黒皇帝,https://static.wikia.nocookie.net/iowiro/images/c/cb/Chronostasis.jpg/revision/latest?cb=20230928044149,3,3.5,base_conflict,Kurorak,Conflict,Sand (not credited),2:13,"Kasane Teto (UTAU, not credited)",Timeless Artcore,0,619,619,1.1.0,1.0.0c,2017-06-02,2021-05-08,196,196
chronostasis,Chronostasis,Arcaea,黒皇帝,https://static.wikia.nocookie.net/iowiro/images/c/cb/Chronostasis.jpg/revision/latest?cb=20230928044149,7,7.5,base_conflict,Kurorak,Conflict,Sand (not credited),2:13,"Kasane Teto (UTAU, not credited)",Timeless Artcore,1,812,812,1.1.0,1.0.0c,2017-06-02,2021-05-08,196,196
chronostasis,Chronostasis,Arcaea,黒皇帝,https://static.wikia.nocookie.net/iowiro/images/c/cb/Chronostasis.jpg/revision/latest?cb=20230928044149,8,8.9,base_conflict,Kurorak,Conflict,Sand (not credited),2:13,"Kasane Teto (UTAU, not credited)",Timeless Artcore,2,916,916,1.1.0,1.0.0c,2017-06-02,2021-05-08,196,196
jump,Jump,Ephemeral Page,Rasmus Faber,https://static.wikia.nocookie.net/iowiro/images/f/fe/Jump.jpg/revision/latest?cb=20230928065407,4,4.0,alice_light,Nitroだー！,Light,あるみっく (ALmic),2:29,?,Pop / UK Hardcore,0,531,531,3.3.0,1.2.0,2020-12-03,2021-09-16,133,133
jump,Jump,Ephemeral Page,Rasmus Faber,https://static.wikia.nocookie.net/iowiro/images/f/fe/Jump.jpg/revision/latest?cb=20230928065407,6,6.0,alice_light,Nitroだー！,Light,あるみっく (ALmic),2:29,?,Pop / UK Hardcore,1,622,622,3.3.0,1.2.0,2020-12-03,2021-09-16,133,133
jump,Jump,Ephemeral Page,Rasmus Faber,https://static.wikia.nocookie.net/iowiro/images/f/fe/Jump.jpg/revision/latest?cb=20230928065407,9,9.0,alice_light,Nitroだー！,Light,あるみっく (ALmic),2:29,?,Pop / UK Hardcore,2,841,841,3.3.0,1.2.0,2020-12-03,2021-09-16,133,133
metallicpunisher,Metallic Punisher,Memory Archive,INNOCENT NOIZE,https://static.wikia.nocookie.net/iowiro/images/e/e9/Metallic_Punisher.jpg/revision/latest?cb=20230928071743,3,3.0,yugamu,Kurorak,Conflict,nonokuro,2:24,Vocal samples,Schranz,0,500,500,1.5.6,1.0.0c,2018-02-16,2021-05-18,165,165
metallicpunisher,Metallic Punisher,Memory Archive,INNOCENT NOIZE,https://static.wikia.nocookie.net/iowiro/images/e/e9/Metallic_Punisher.jpg/revision/latest?cb=20230928071743,7,7.0,yugamu,Kurorak,Conflict,nonokuro,2:24,Vocal samples,Schranz,1,846,846,1.5.6,1.0.0c,2018-02-16,2021-05-18,165,165
metallicpunisher,Metallic Punisher,Memory Archive,INNOCENT NOIZE,https://static.wikia.nocookie.net/iowiro/images/e/e9/Metallic_Punisher.jpg/revision/latest?cb=20230928071743,10,10.3,yugamu,Black Tea,Conflict,nonokuro,2:24,Vocal samples,Schranz,2,1238,1238,1.5.6,1.0.0c,2018-02-16,2021-05-18,165,165
fallensquare,Fallensquare,Memory Archive,Silentroom,https://static.wikia.nocookie.net/iowiro/images/3/30/Fallensquare.jpg/revision/latest?cb=20230928061233,3,3.0,mirai_conflict,Haruba,Conflict,unKn,2:30,Vocal samples,High Contrast / Breakbeat / 9-bit,0,316,316,1.7.2,1.0.0c,2018-08-13,2021-05-18,99,99
fallensquare,Fallensquare,Memory Archive,Silentroom,https://static.wikia.nocookie.net/iowiro/images/3/30/Fallensquare.jpg/revision/latest?cb=20230928061233,7,7.0,mirai_conflict,Haruba,Conflict,unKn,2:30,Vocal samples,High Contrast / Breakbeat / 9-bit,1,486,486,1.7.2,1.0.0c,2018-08-13,2021-05-18,99,99
fallensquare,Fallensquare,Memory Archive,Silentroom,https://static.wikia.nocookie.net/iowiro/images/3/30/Fallensquare.jpg/revision/latest?cb=20230928061233,9,9.6,mirai_conflict,Haruba,Conflict,unKn,2:30,Vocal samples,High Contrast / Breakbeat / 9-bit,2,703,703,1.7.2,1.0.0c,2018-08-13,2021-05-18,99,99
devillicsphere,Devillic Sphere,Cytus II Collaboration,3R2,https://static.wikia.nocookie.net/iowiro/images/7/71/DevillicSphere.jpg/revision/latest?cb=20230927211317,4,4.0,cytus_conflict,₸öα$†ε₹,Conflict,Xcanner (not credited),2:06,Vocal samples,Schranz,0,490,,4.5.0,,2023-06-28,,160,160
devillicsphere,Devillic Sphere,Cytus II Collaboration,3R2,https://static.wikia.nocookie.net/iowiro/images/7/71/DevillicSphere.jpg/revision/latest?cb=20230927211317,7,7.5,cytus_conflict,₸öα$†ε₹,Conflict,Xcanner (not credited),2:06,Vocal samples,Schranz,1,692,,4.5.0,,2023-06-28,,160,160
devillicsphere,Devillic Sphere,Cytus II Collaboration,3R2,https://static.wikia.nocookie.net/iowiro/images/7/71/DevillicSphere.jpg/revision/latest?cb=20230927211317,9+,9.9,cytus_conflict,₸öα$†ε₹,Conflict,Xcanner (not credited),2:06,Vocal samples,Schranz,2,1129,,4.5.0,,2023-06-28,,160,160
cryofviyella,cry of viyella,Eternal Core,Laur,https://static.wikia.nocookie.net/iowiro/images/4/4f/Cry_of_viyella_2.jpg/revision/latest?cb=20230928090139,3,3.5,base_conflict,Toaster,Conflict,Khronetic (current) / Ya-K (old),2:07,"Vocal samples, Choral",Gothic Hardcore,0,414,414,1.0.8,1.0.0c,2017-03-09,2021-05-18,75,180
cryofviyella,cry of viyella,Eternal Core,Laur,https://static.wikia.nocookie.net/iowiro/images/4/4f/Cry_of_viyella_2.jpg/revision/latest?cb=20230928090139,6,6.0,base_conflict,Toaster,Conflict,Khronetic (current) / Ya-K (old),2:07,"Vocal samples, Choral",Gothic Hardcore,1,492,492,1.0.8,1.0.0c,2017-03-09,2021-05-18,75,180
cryofviyella,cry of viyella,Eternal Core,Laur,https://static.wikia.nocookie.net/iowiro/images/4/4f/Cry_of_viyella_2.jpg/revision/latest?cb=20230928090139,8,8.5,base_conflict,Toaster,Conflict,Khronetic (current) / Ya-K (old),2:07,"Vocal samples, Choral",Gothic Hardcore,2,791,791,1.0.8,1.0.0c,2017-03-09,2021-05-18,75,180
rugie,Rugie,Arcaea,Feryquitous feat.Sennzai,https://static.wikia.nocookie.net/iowiro/images/9/99/Rugie.jpg/revision/latest?cb=20230928074726,3,3.0,base_conflict,k//urorak,Conflict,"レク (Reku), 魔界の住民 (Makai no Juumin) (not credited)",2:24,Sennzai,Artcore,0,566,566,1.8.1,1.0.0c,2018-11-08,2021-05-18,191,191
rugie,Rugie,Arcaea,Feryquitous feat.Sennzai,https://static.wikia.nocookie.net/iowiro/images/9/99/Rugie.jpg/revision/latest?cb=20230928074726,6,6.0,base_conflict,k//urorak,Conflict,"レク (Reku), 魔界の住民 (Makai no Juumin) (not credited)",2:24,Sennzai,Artcore,1,754,754,1.8.1,1.0.0c,2018-11-08,2021-05-18,191,191
rugie,Rugie,Arcaea,Feryquitous feat.Sennzai,https://static.wikia.nocookie.net/iowiro/images/9/99/Rugie.jpg/revision/latest?cb=20230928074726,9,9.2,base_conflict,k//urorak,Conflict,"レク (Reku), 魔界の住民 (Makai no Juumin) (not credited)",2:24,Sennzai,Artcore,2,975,975,1.8.1,1.0.0c,2018-11-08,2021-05-18,191,191
vindication,Vindication,Adverse Prelude,Laur,https://static.wikia.nocookie.net/iowiro/images/a/a4/Vindication.jpg/revision/latest?cb=20230928090025,4,4.0,prelude_light,Toaster,Light,EB十,2:29,"Vocal samples, Choral",Artcore / Drumstep,0,721,721,2.2.0,1.0.0c,2019-07-18,2021-05-18,174,174
vindication,Vindication,Adverse Prelude,Laur,https://static.wikia.nocookie.net/iowiro/images/a/a4/Vindication.jpg/revision/latest?cb=20230928090025,6,6.5,prelude_light,Toaster,Light,EB十,2:29,"Vocal samples, Choral",Artcore / Drumstep,1,899,899,2.2.0,1.0.0c,2019-07-18,2021-05-18,174,174
vindication,Vindication,Adverse Prelude,Laur,https://static.wikia.nocookie.net/iowiro/images/a/a4/Vindication.jpg/revision/latest?cb=20230928090025,9,9.6,prelude_light,Nitro vs Toaster,Light,EB十,2:29,"Vocal samples, Choral",Artcore / Drumstep,2,1075,1075,2.2.0,1.0.0c,2019-07-18,2021-05-18,174,174
quondjnoriken,Quon,WACCA Collaboration,DJ Noriken,https://static.wikia.nocookie.net/iowiro/images/b/bb/Quon_%28Noriken%29.jpg/revision/latest?cb=20230928074013,2,2.5,wacca_conflict,CERiNG,Conflict,神谷ズズ (Kamiya Zuzu)  (not credited),2:04,Vocal samples,Hardcore,0,425,425,3.8.0,2.0.1,2021-08-10,2023-03-16,170,170
quondjnoriken,Quon,WACCA Collaboration,DJ Noriken,https://static.wikia.nocookie.net/iowiro/images/b/bb/Quon_%28Noriken%29.jpg/revision/latest?cb=20230928074013,5,5.5,wacca_conflict,CERiNG,Conflict,神谷ズズ (Kamiya Zuzu)  (not credited),2:04,Vocal samples,Hardcore,1,496,496,3.8.0,2.0.1,2021-08-10,2023-03-16,170,170
quondjnoriken,Quon,WACCA Collaboration,DJ Noriken,https://static.wikia.nocookie.net/iowiro/images/b/bb/Quon_%28Noriken%29.jpg/revision/latest?cb=20230928074013,8,8.7,wacca_conflict,CERiNG,Conflict,神谷ズズ (Kamiya Zuzu)  (not credited),2:04,Vocal samples,Hardcore,2,749,749,3.8.0,2.0.1,2021-08-10,2023-03-16,170,170
quondjnoriken,Quon,WACCA Collaboration,DJ Noriken,https://static.wikia.nocookie.net/iowiro/images/b/bb/Quon_%28Noriken%29.jpg/revision/latest?cb=20230928074013,10,10.2,wacca_conflict,XIII: The Journey/Nitro,Conflict,神谷ズズ (Kamiya Zuzu)  (not credited),2:04,Vocal samples,Hardcore,3,1044,,3.8.0,,2021-08-10,,170,170
hybristheonewhoshattered,Hybris (The one who shattered),World Extend,qfeileadh feat.のあ,https://static.wikia.nocookie.net/iowiro/images/d/df/Hybris.jpg/revision/latest?cb=20230927212138,4,4.5,vs_conflict,Exschwasion,Conflict,"linglvz, Maeus (not credited)",2:42,のあ (Noah),Progressive Electro Fusion,0,757,,4.4.6,,2023-05-25,,158,158
hybristheonewhoshattered,Hybris (The one who shattered),World Extend,qfeileadh feat.のあ,https://static.wikia.nocookie.net/iowiro/images/d/df/Hybris.jpg/revision/latest?cb=20230927212138,7,7.5,vs_conflict,Exschwasion,Conflict,"linglvz, Maeus (not credited)",2:42,のあ (Noah),Progressive Electro Fusion,1,973,,4.4.6,,2023-05-25,,158,158
hybristheonewhoshattered,Hybris (The one who shattered),World Extend,qfeileadh feat.のあ,https://static.wikia.nocookie.net/iowiro/images/d/df/Hybris.jpg/revision/latest?cb=20230927212138,9+,9.8,vs_conflict,Exschwasion,Conflict,"linglvz, Maeus (not credited)",2:42,のあ (Noah),Progressive Electro Fusion,2,1196,,4.4.6,,2023-05-25,,158,158
garakutadollplay,Garakuta Doll Play,CHUNITHM Collaboration,t+pazolite,https://static.wikia.nocookie.net/iowiro/images/8/8e/Garakuta_Doll_Play.jpg/revision/latest?cb=20230928062321,4,4.5,chuni-garakuta,Arcaea Charting Team【Royal Flush】,Conflict,,2:08,Vocal samples,Speedcore,0,444,,2.1.0,,2019-05-23,,256,256
garakutadollplay,Garakuta Doll Play,CHUNITHM Collaboration,t+pazolite,https://static.wikia.nocookie.net/iowiro/images/8/8e/Garakuta_Doll_Play.jpg/revision/latest?cb=20230928062321,6,6.5,chuni-garakuta,Arcaea Charting Team【Royal Flush】,Conflict,,2:08,Vocal samples,Speedcore,1,572,,2.1.0,,2019-05-23,,256,256
garakutadollplay,Garakuta Doll Play,CHUNITHM Collaboration,t+pazolite,https://static.wikia.nocookie.net/iowiro/images/8/8e/Garakuta_Doll_Play.jpg/revision/latest?cb=20230928062321,10,10.4,chuni-garakuta,Arcaea Charting Teamからの挑戦状,Conflict,,2:08,Vocal samples,Speedcore,2,1035,,2.1.0,,2019-05-23,,256,256
solitarydream,Solitary Dream,Eternal Core,ak+q feat. Sennzai,https://static.wikia.nocookie.net/iowiro/images/9/97/Solitary_Dream_en.jpg/revision/latest?cb=20230928083012,4,4.0,solitarydream,N/A,Light,シエラ (cierra),2:53,Sennzai,Artcore,0,712,712,1.9.3,1.0.0c,2019-03-09,2021-05-18,162,162
solitarydream,Solitary Dream,Eternal Core,ak+q feat. Sennzai,https://static.wikia.nocookie.net/iowiro/images/9/97/Solitary_Dream_en.jpg/revision/latest?cb=20230928083012,7,7.0,solitarydream,N/A,Light,シエラ (cierra),2:53,Sennzai,Artcore,1,854,854,1.9.3,1.0.0c,2019-03-09,2021-05-18,162,162
solitarydream,Solitary Dream,Eternal Core,ak+q feat. Sennzai,https://static.wikia.nocookie.net/iowiro/images/9/97/Solitary_Dream_en.jpg/revision/latest?cb=20230928083012,8,8.8,solitarydream,N/A,Light,シエラ (cierra),2:53,Sennzai,Artcore,2,972,972,1.9.3,1.0.0c,2019-03-09,2021-05-18,162,162
mirzam,Mirzam,Memory Archive,Aoi vs. siqlo,https://static.wikia.nocookie.net/iowiro/images/4/4a/Mirzam.jpg/revision/latest?cb=20230928071821,4,4.0,zettai,東星※おおいぬ座β星,Conflict,すずなし (Suzunashi),2:28,Vocal samples,Hybrid Hardstep,0,662,662,2.3.2,1.0.0c,2019-09-23,2021-05-18,201,201
mirzam,Mirzam,Memory Archive,Aoi vs. siqlo,https://static.wikia.nocookie.net/iowiro/images/4/4a/Mirzam.jpg/revision/latest?cb=20230928071821,7,7.0,zettai,東星※おおいぬ座β星,Conflict,すずなし (Suzunashi),2:28,Vocal samples,Hybrid Hardstep,1,885,885,2.3.2,1.0.0c,2019-09-23,2021-05-18,201,201
mirzam,Mirzam,Memory Archive,Aoi vs. siqlo,https://static.wikia.nocookie.net/iowiro/images/4/4a/Mirzam.jpg/revision/latest?cb=20230928071821,10,10.0,zettai,東星※おおいぬ座β星,Conflict,すずなし (Suzunashi),2:28,Vocal samples,Hybrid Hardstep,2,1303,1303,2.3.2,1.0.0c,2019-09-23,2021-05-18,201,201
aurgelmir,Aurgelmir,Memory Archive,溝口ゆうま feat. 大瀬良あい,https://static.wikia.nocookie.net/iowiro/images/7/77/Aurgelmir.jpg/revision/latest?cb=20230928023929,4,4.5,gc_ouroboros,夜浪,Conflict,未早 (Misa) (not credited),2:17,大瀬良あい (Ai Ohsera),Orchestral / Gothic Hardcore,0,540,540,3.12.4,1.1.0c,2022-03-23,2021-06-22,122,230
aurgelmir,Aurgelmir,Memory Archive,溝口ゆうま feat. 大瀬良あい,https://static.wikia.nocookie.net/iowiro/images/7/77/Aurgelmir.jpg/revision/latest?cb=20230928023929,7,7.5,gc_ouroboros,夜浪,Conflict,未早 (Misa) (not credited),2:17,大瀬良あい (Ai Ohsera),Orchestral / Gothic Hardcore,1,765,765,3.12.4,1.1.0c,2022-03-23,2021-06-22,122,230
aurgelmir,Aurgelmir,Memory Archive,溝口ゆうま feat. 大瀬良あい,https://static.wikia.nocookie.net/iowiro/images/7/77/Aurgelmir.jpg/revision/latest?cb=20230928023929,10,10.5,gc_ouroboros,夜浪,Conflict,未早 (Misa) (not credited),2:17,大瀬良あい (Ai Ohsera),Orchestral / Gothic Hardcore,2,1100,1100,3.12.4,1.1.0c,2022-03-23,2021-06-22,122,230
clothoandthestargazer,Clotho and the stargazer,Arcaea,しーけー,https://static.wikia.nocookie.net/iowiro/images/7/77/Clotho_and_the_stargazer.jpg/revision/latest?cb=20230928044344,2,2.0,shiawase,小東星,Light,yoshimo,2:19,None,Eschatology,0,519,519,1.1.2,1.0.0c,2017-06-23,2021-05-08,230,230
clothoandthestargazer,Clotho and the stargazer,Arcaea,しーけー,https://static.wikia.nocookie.net/iowiro/images/7/77/Clotho_and_the_stargazer.jpg/revision/latest?cb=20230928044344,5,5.0,shiawase,小東星,Light,yoshimo,2:19,None,Eschatology,1,745,745,1.1.2,1.0.0c,2017-06-23,2021-05-08,230,230
clothoandthestargazer,Clotho and the stargazer,Arcaea,しーけー,https://static.wikia.nocookie.net/iowiro/images/7/77/Clotho_and_the_stargazer.jpg/revision/latest?cb=20230928044344,7,7.5,shiawase,小東星,Light,yoshimo,2:19,None,Eschatology,2,1021,1021,1.1.2,1.0.0c,2017-06-23,2021-05-08,230,230
letsrockarcaeamix,Let's Rock (Arcaea mix),World Extend,ikaruga_nex vs FALCHiON,https://static.wikia.nocookie.net/iowiro/images/0/0b/Let%27s_Rock.jpg/revision/latest?cb=20230927234541,3,3.0,zettai,Luxance,Conflict,虎硬 (Musou Rinne) + 無想りんね (Toraco),2:27,Vocal samples,Hardstyle / Gabber,0,541,,4.3.0,,2023-03-02,,210,210
letsrockarcaeamix,Let's Rock (Arcaea mix),World Extend,ikaruga_nex vs FALCHiON,https://static.wikia.nocookie.net/iowiro/images/0/0b/Let%27s_Rock.jpg/revision/latest?cb=20230927234541,7,7.0,zettai,Luxance,Conflict,虎硬 (Musou Rinne) + 無想りんね (Toraco),2:27,Vocal samples,Hardstyle / Gabber,1,963,,4.3.0,,2023-03-02,,210,210
letsrockarcaeamix,Let's Rock (Arcaea mix),World Extend,ikaruga_nex vs FALCHiON,https://static.wikia.nocookie.net/iowiro/images/0/0b/Let%27s_Rock.jpg/revision/latest?cb=20230927234541,9+,9.7,zettai,Luxance,Conflict,虎硬 (Musou Rinne) + 無想りんね (Toraco),2:27,Vocal samples,Hardstyle / Gabber,2,1177,,4.3.0,,2023-03-02,,210,210
1f1e33,#1f1e33,Black Fate,かめりあ(EDP),https://static.wikia.nocookie.net/iowiro/images/2/23/1f1e33.jpg/revision/latest?cb=20230928064734,5,5.5,vs_conflict,夜浪,Conflict,望月けい (Kei Mochizuki),2:43,"Vocal samples, Choral",Neurofunk / Gothic Hardcore,0,765,765,3.0.0,1.0.0c,2020-05-27,2021-05-18,181,181
1f1e33,#1f1e33,Black Fate,かめりあ(EDP),https://static.wikia.nocookie.net/iowiro/images/2/23/1f1e33.jpg/revision/latest?cb=20230928064734,9,9.2,vs_conflict,夜浪,Conflict,望月けい (Kei Mochizuki),2:43,"Vocal samples, Choral",Neurofunk / Gothic Hardcore,1,1144,1144,3.0.0,1.0.0c,2020-05-27,2021-05-18,181,181
1f1e33,#1f1e33,Black Fate,かめりあ(EDP),https://static.wikia.nocookie.net/iowiro/images/2/23/1f1e33.jpg/revision/latest?cb=20230928064734,10+,10.9,vs_conflict,"夜浪 VS 東星 ""Convergence""",Conflict,望月けい (Kei Mochizuki),2:43,"Vocal samples, Choral",Neurofunk / Gothic Hardcore,2,1576,1576,3.0.0,1.0.0c,2020-05-27,2021-05-18,181,181
magnolia,Magnolia,Cytus II Collaboration Chapter 2,M2U Vocal by Guriri,https://static.wikia.nocookie.net/iowiro/images/8/89/Magnolia.jpg/revision/latest?cb=20230927205625,4,4.5,magnolia,Lacrimosa,Light,Siyouko (uncredited),2:25,Guriri,Symphonic Dubstep,0,625,,4.6.0,,2023-07-19,,160,160
magnolia,Magnolia,Cytus II Collaboration Chapter 2,M2U Vocal by Guriri,https://static.wikia.nocookie.net/iowiro/images/8/89/Magnolia.jpg/revision/latest?cb=20230927205625,7,7.5,magnolia,Lacrimosa,Light,Siyouko (uncredited),2:25,Guriri,Symphonic Dubstep,1,726,,4.6.0,,2023-07-19,,160,160
magnolia,Magnolia,Cytus II Collaboration Chapter 2,M2U Vocal by Guriri,https://static.wikia.nocookie.net/iowiro/images/8/89/Magnolia.jpg/revision/latest?cb=20230927205625,10,10.2,magnolia,Lacrimosa,Light,Siyouko (uncredited),2:25,Guriri,Symphonic Dubstep,2,895,,4.6.0,,2023-07-19,,160,160
